country,leader,party,lr,president,term,startofterm,yearbegin,endofterm,yearend,speechtype,speechnum,codernum,rubricgrade,averagerubric,totalaverage,wb_region,region
Japan,Yoshihiko Noda,Democratic Party of Japan,0,0,1,2-Sep-11,2011,26-Dec-12,2012,famous,4,3,,0,0,East Asia & Pacific,East Asia & Pacific
Japan,Yoshihiko Noda,Democratic Party of Japan,0,0,1,2-Sep-11,2011,26-Dec-12,2012,famous,4,4,,0,0,East Asia & Pacific,East Asia & Pacific
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,1,4-Feb-00,2000,28-Feb-03,2003,campaign,1,1,0.5,0.4,0.1333333333,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,1,4-Feb-00,2000,28-Feb-03,2003,campaign,1,2,0.3,0.4,0.1333333333,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,1,4-Feb-00,2000,28-Feb-03,2003,campaign,1,3,,0.4,0.1333333333,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,1,4-Feb-00,2000,28-Feb-03,2003,campaign,1,4,,0.4,0.1333333333,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,1,4-Feb-00,2000,28-Feb-03,2003,ribbon cutting,2,1,0,0,0.1333333333,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,1,4-Feb-00,2000,28-Feb-03,2003,ribbon cutting,2,2,0,0,0.1333333333,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,1,4-Feb-00,2000,28-Feb-03,2003,ribbon cutting,2,3,,0,0.1333333333,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,1,4-Feb-00,2000,28-Feb-03,2003,ribbon cutting,2,4,,0,0.1333333333,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,1,4-Feb-00,2000,28-Feb-03,2003,international,3,1,,,0.1333333333,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,1,4-Feb-00,2000,28-Feb-03,2003,international,3,2,,,0.1333333333,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,1,4-Feb-00,2000,28-Feb-03,2003,international,3,3,,,0.1333333333,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,1,4-Feb-00,2000,28-Feb-03,2003,international,3,4,,,0.1333333333,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,1,4-Feb-00,2000,28-Feb-03,2003,famous,4,1,0,0,0.1333333333,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,1,4-Feb-00,2000,28-Feb-03,2003,famous,4,2,0,0,0.1333333333,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,1,4-Feb-00,2000,28-Feb-03,2003,famous,4,3,,0,0.1333333333,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,1,4-Feb-00,2000,28-Feb-03,2003,famous,4,4,,0,0.1333333333,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,2,28-Feb-03,2003,11-Jan-07,2007,campaign,1,1,0,0,0,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,2,28-Feb-03,2003,11-Jan-07,2007,campaign,1,2,0,0,0,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,2,28-Feb-03,2003,11-Jan-07,2007,campaign,1,3,,0,0,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,2,28-Feb-03,2003,11-Jan-07,2007,campaign,1,4,,0,0,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,2,28-Feb-03,2003,11-Jan-07,2007,ribbon cutting,2,1,0,0,0,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,2,28-Feb-03,2003,11-Jan-07,2007,ribbon cutting,2,2,0,0,0,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,2,28-Feb-03,2003,11-Jan-07,2007,ribbon cutting,2,3,,0,0,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,2,28-Feb-03,2003,11-Jan-07,2007,ribbon cutting,2,4,,0,0,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,2,28-Feb-03,2003,11-Jan-07,2007,international,3,1,0,0,0,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,2,28-Feb-03,2003,11-Jan-07,2007,international,3,2,0,0,0,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,2,28-Feb-03,2003,11-Jan-07,2007,international,3,3,,0,0,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,2,28-Feb-03,2003,11-Jan-07,2007,international,3,4,,0,0,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,2,28-Feb-03,2003,11-Jan-07,2007,famous,4,1,0,0,0,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,2,28-Feb-03,2003,11-Jan-07,2007,famous,4,2,0,0,0,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,2,28-Feb-03,2003,11-Jan-07,2007,famous,4,3,,0,0,Europe & Central Asia,Western Europe
Austria,Wolfgang Schüssel,Austrian People's Party,1,0,2,28-Feb-03,2003,11-Jan-07,2007,famous,4,4,,0,0,Europe & Central Asia,Western Europe
